"Subject"	"Observer"	"APT_BlackC"	"APT_BlackA"	"APT_WhiteC"	"APT_WhiteA"	"APT_DiffA"	"APT_MeanC"	"APT_AResid"	"WIT_BlackC"	"WIT_BlackA"	"WIT_WhiteC"	"WIT_WhiteA"	"WIT_DiffA"	"WIT_MeanC"	"WIT_AResid"	"WIT_MeanC.stand"	"WIT_AResid.stand"	"WIT_DiffA.stand"	"AP_MeanC.stand"	"AP_AResid.stand"	"AP_DiffA.stand"
1	"Present"	0	0.229166666666667	0.1875	0.717948717948718	-0.488782051282051	0.09375	-0.266830759821767	0.145833333333333	0.560975609756098	0	0.333333333333333	0.227642276422764	0.0729166666666667	0.0840177062267094	-1.41476770865706	0.503940520686085	0.855712481524676	-1.38723623956724	-1.94202886982026	-2.46941438907562
2	"Absent"	0.0833333333333334	0.613636363636364	0.0416666666666667	0.565217391304348	0.0484189723320159	0.0625000000000001	0.155254425306922	0.479166666666667	0.4	0.479166666666667	0.68	-0.28	0.479166666666667	-0.144670949134285	0.526528091728507	-0.863663608592762	-1.58331862448764	-1.54743888485516	1.08818827277792	0.325432240496492
3	"Present"	0.0625	0.377777777777778	0.0625	0.533333333333333	-0.155555555555556	0.0625	-0.072751584191465	0.1875	0.461538461538462	0.541666666666667	0.363636363636364	0.0979020979020979	0.364583333333333	-0.0213384145088357	-0.0210168776110116	-0.126110259643563	0.232359491026375	-1.54743888485516	-0.548703385446866	-0.735767378874845
5	"Present"	0.416666666666667	0.428571428571429	0.4375	0.222222222222222	0.206349206349206	0.427083333333333	0.0546641753289696	0.0416666666666667	0.630434782608696	0.0833333333333333	0.386363636363636	0.244071146245059	0.0625	0.143118677172965	-1.46454452405156	0.857376207222004	0.934647050992712	0.321591976837229	0.366034758272324	1.14708142366629
6	"Absent"	-0.125	0.444444444444444	0.25	0.444444444444444	0	0.0625	0.015807113539997	0.208333333333333	0.631578947368421	0.395833333333333	0.379310344827586	0.252268602540835	0.302083333333333	0.14564053381186	-0.319677769978022	0.872457416857685	0.97403275983569	-1.54743888485516	0.0870736885819911	0.0735272818665213
8	"Absent"	0.104166666666667	0.372093023255814	0.125	0.571428571428571	-0.199335548172757	0.114583333333333	-0.0878186377411983	0.0625	0.577777777777778	0.0208333333333334	0.340425531914894	0.237352245862884	0.0416666666666667	0.0994345828080291	-1.56409815484056	0.596136541690769	0.902365249827918	-1.28043447604196	-0.656872175926747	-0.963537542054547
10	"Absent"	0.583333333333333	0.25	0.520833333333333	0.130434782608696	0.119565217391304	0.552083333333333	-0.101301351599464	0.5625	0.428571428571429	0.395833333333333	0.517241379310345	-0.0886699507389163	0.479166666666667	-0.0843085150666572	0.526528091728507	-0.502684119015993	-0.6640493608024	0.962402557988904	-0.753666738023507	0.695578302156858
11	"Present"	0.375	0.7	0.5625	0.619047619047619	0.080952380952381	0.46875	0.228360465218276	0.375	0.633333333333333	0.3125	0.424242424242424	0.209090909090909	0.34375	0.138618512250215	-0.120570508400015	0.830464316376021	0.76658010606473	0.535195503887787	1.61302824151388	0.494690829803355
12	"Absent"	0	0.416666666666667	0.1875	0.692307692307692	-0.275641025641026	0.09375	-0.0730157508607679	0.25	0.611111111111111	0.1875	0.692307692307692	-0.0811965811965812	0.21875	0.0640361485233983	-0.717892293134035	0.38444678899513	-0.628142617753087	-1.38723623956724	-0.550599880273096	-1.36052507027134
13	"Present"	0.5	0.583333333333333	0.6875	0.4	0.183333333333333	0.59375	0.165642017961284	0.645833333333333	0.352941176470588	0.541666666666667	0.318181818181818	0.0347593582887701	0.59375	-0.121057240799843	1.07407306106803	-0.722448886005011	-0.0710177357897093	1.17600608503946	1.16276246405634	1.0273388463117
14	"Absent"	0.375	0.433333333333333	0.395833333333333	0.482758620689655	-0.0494252873563218	0.385416666666667	-0.00474021785766389	0.375	0.633333333333333	0.541666666666667	0.590909090909091	0.0424242424242424	0.458333333333333	0.106064163401706	0.426974460939504	0.635782766296829	-0.0341908368124695	0.107988449786671	-0.0604388942556521	-0.18361313989613
16	"Absent"	0.5625	0.0952380952380952	0.8125	0.222222222222222	-0.126984126984127	0.6875	-0.278669158004364	0.479166666666667	0.44	0.520833333333333	0.260869565217391	0.179130434782609	0.5	-0.0228038388126436	0.62608172251751	-0.134873791554972	0.622631242499296	1.65661402090322	-2.02701862633794	-0.587121420779492
17	"Present"	-0.0416666666666667	0.5	0.104166666666667	0.418604651162791	0.0813953488372093	0.03125	0.0777266316143884	0.0833333333333334	0.545454545454546	0.125	0.428571428571429	0.116883116883117	0.104166666666667	0.0498941568688683	-1.26543726247355	0.299874836125705	0.323556181823579	-1.70764153014307	0.531603825486068	0.496995418300957
18	"Absent"	0.145833333333333	0.195121951219512	0.166666666666667	0.425	-0.229878048780488	0.15625	-0.228726497889511	-0.0208333333333334	0.551020408163265	0.0625	0.177777777777778	0.373242630385487	0.0208333333333333	0.104446563559153	-1.66365178562957	0.626109194073913	1.55526767788058	-1.0668309489914	-1.66847227086508	-1.12243821634579
19	"Present"	0.479166666666667	0.28	0.75	0.5	-0.22	0.614583333333333	-0.162319850319945	0.666666666666667	0.125	0.333333333333333	0.90625	-0.78125	0.5	-0.463863477696135	0.62608172251751	-2.77249909239525	-3.99163723519081	1.28280784856474	-1.19172831268416	-1.0710465954677
20	"Absent"	0.770833333333333	0.818181818181818	0.625	0.833333333333333	-0.015151515151515	0.697916666666667	0.293766851368891	0.666666666666667	0.9375	0.5	0.583333333333333	0.354166666666667	0.583333333333333	0.41171057319785	1.02429624567352	2.46360973688541	1.46361481316011	1.71001490266586	2.08259116277244	-0.00530012015374109
21	"Present"	0.5625	0.333333333333333	0.541666666666667	0.681818181818182	-0.348484848484848	0.552083333333333	-0.153765671437329	0.625	0.555555555555556	0.583333333333333	0.4	0.155555555555556	0.604166666666667	0.0655759124867656	1.12384987646253	0.393654887014211	0.509362772898115	0.962402557988904	-1.13031649250134	-1.73950296459953
