"Subject","t01","t02","t03","t04","t05","t06","t07","t08"
1,19,23,17,30,16,24,16,28
2,32,10,11,33,40,5,17,26
3,22,18,8,27,34,12,8,26
4,0,16,0,22,0,23,0,16
5,14,29,13,31,21,23,17,26
6,21,24,12,34,30,17,11,33
7,21,5,1,33,30,0,8,29
8,20,26,19,29,17,25,16,30
9,42,5,11,32,39,6,3,32
10,35,9,9,36,34,8,15,31
11,22,19,8,37,29,11,14,29
12,16,22,8,34,36,9,27,15
13,31,6,7,37,33,8,7,39
14,24,19,10,37,39,7,13,33
15,30,16,2,44,37,6,14,32
16,31,11,7,34,31,8,6,28
17,21,24,19,28,24,23,18,30
18,14,27,10,26,11,32,8,29
19,44,2,12,34,45,2,29,16
20,27,15,1,47,38,4,14,32
21,25,10,4,40,36,2,8,32
22,20,15,16,26,22,18,9,29
23,35,8,8,39,38,4,11,33
24,36,7,7,38,34,9,4,43
25,22,10,16,21,35,3,21,16
26,22,11,11,31,35,9,11,30
27,32,4,5,33,38,6,14,22
28,24,8,23,6,20,10,29,6
29,25,17,16,28,26,19,15,26
30,35,6,3,42,38,3,12,32
31,16,29,19,26,17,25,7,33
32,28,14,23,17,20,18,19,21
33,35,3,3,33,30,3,9,33
34,20,19,16,27,23,16,15,30
35,18,21,9,31,28,14,13,24
36,35,5,11,35,36,6,9,37
37,25,20,13,35,33,15,20,26
38,28,6,2,45,37,6,9,35
39,25,14,13,18,23,10,12,21
40,24,23,25,22,23,24,17,28
41,20,17,7,39,33,6,10,33
42,12,32,13,33,25,19,27,18
43,26,6,4,38,29,9,5,35
44,32,9,1,45,40,2,15,30
45,29,10,15,30,34,4,10,33
46,34,10,7,39,37,8,16,31
47,18,17,6,35,33,13,8,37
48,31,14,15,28,36,10,24,21
49,29,14,8,39,25,18,16,28
50,23,25,9,39,29,18,23,24
51,23,20,15,30,33,13,20,25
52,30,14,12,35,30,15,13,35
54,22,20,5,39,30,15,15,33
55,22,19,9,32,31,7,9,26
56,25,17,11,35,34,6,16,27
57,32,9,6,39,38,6,6,35
58,27,11,21,26,32,9,16,26
59,12,12,14,14,12,10,9,21
60,19,25,22,23,25,17,21,20
61,21,27,22,23,17,26,19,28
62,35,8,4,42,40,4,15,28
63,30,16,23,18,37,10,31,13
64,27,19,12,33,31,12,24,23
65,19,26,15,31,22,17,13,33
66,24,14,8,35,38,2,9,25
67,30,6,10,29,32,8,9,33
68,24,15,23,22,27,16,20,24
69,12,17,11,21,24,6,19,19
70,20,28,20,28,28,17,27,19
71,26,21,12,36,41,4,20,27
72,15,29,4,42,36,6,24,19
73,22,8,2,29,31,6,8,24
74,36,0,2,38,36,0,3,39
75,20,27,15,33,30,16,22,26
76,32,1,0,44,38,5,6,31
77,30,12,9,28,40,6,13,23
78,31,12,4,44,33,13,10,36
79,16,30,17,30,31,12,26,19
80,27,19,14,34,30,16,13,34
81,24,18,12,27,20,21,13,32
82,16,15,21,17,22,15,15,16
83,25,5,1,38,28,5,3,31
84,34,6,6,34,32,2,9,35
85,26,7,2,45,32,5,6,38
86,27,17,13,29,28,16,7,34
87,25,3,1,35,30,0,8,20
88,18,13,7,29,29,12,11,23
89,16,23,6,41,14,28,5,37
90,24,11,9,36,35,4,24,19
91,33,10,9,37,29,16,10,34
92,28,13,5,42,41,6,13,32
93,13,14,4,35,26,8,13,30
94,18,24,7,35,35,6,13,26
95,13,10,7,32,17,8,7,22
96,28,16,9,34,37,7,23,25
97,34,11,4,41,39,5,12,26
98,19,25,5,36,33,10,22,16
99,32,2,5,36,38,5,10,31
100,25,18,6,37,33,10,11,35
101,38,7,1,46,41,4,10,38
