"Subject","t09","t10","t11","t12","t13","t14","t15","t16"
1,36,11,34,11,37,11,28,15
2,20,27,16,31,28,15,26,20
3,29,17,21,20,27,15,24,20
4,14,27,17,22,15,29,18,22
5,25,12,7,32,27,8,6,25
6,24,24,30,18,28,20,16,31
7,29,13,13,24,39,4,18,19
8,25,16,17,21,30,10,24,14
9,36,7,8,30,31,10,7,29
10,38,5,8,33,28,13,3,38
11,20,21,4,39,40,5,13,20
12,27,20,28,20,36,12,27,21
13,32,14,3,38,39,8,6,41
14,30,13,12,31,33,9,14,25
15,37,9,8,38,43,5,8,34
16,44,2,4,29,41,4,2,39
17,19,25,22,23,23,25,18,27
18,31,8,20,15,25,13,17,17
19,36,7,4,30,42,1,6,34
20,35,9,1,46,45,3,15,26
21,34,7,8,34,41,3,15,23
22,20,25,21,24,36,10,23,19
23,33,6,5,37,38,5,5,37
24,37,4,8,38,35,9,6,35
25,13,15,6,30,34,4,16,12
26,36,3,2,35,38,6,2,35
27,29,9,2,26,18,11,2,35
28,26,7,14,19,29,7,12,11
29,34,10,10,28,23,17,12,25
30,30,15,11,32,34,11,22,22
31,13,31,9,27,18,25,10,31
32,25,10,15,16,23,14,15,13
33,24,15,8,31,38,6,14,25
34,3,8,3,10,6,6,6,8
35,26,19,15,29,29,12,16,29
36,35,4,5,31,31,7,5,35
37,25,20,5,41,43,4,24,22
38,38,5,1,44,28,12,3,45
39,24,20,27,15,29,16,25,17
40,21,20,12,34,18,23,15,26
41,27,14,7,34,29,13,6,34
42,17,19,12,25,34,5,22,13
43,38,8,9,32,26,15,4,40
44,28,15,6,36,32,10,6,36
45,29,12,4,35,41,2,11,24
46,38,6,6,32,39,4,2,38
47,32,10,19,23,35,8,17,22
48,28,13,17,18,21,14,9,32
49,24,23,13,30,37,10,24,22
50,30,15,18,28,29,18,11,34
51,29,10,3,32,39,3,11,25
52,28,15,12,33,33,14,17,29
54,28,16,6,40,29,16,13,31
55,22,21,12,32,21,22,18,22
56,25,10,2,34,33,3,10,16
57,31,9,3,39,39,1,8,30
58,23,19,9,33,35,8,20,21
59,25,8,19,12,15,13,15,12
60,19,22,15,27,26,15,12,28
61,11,26,13,24,25,11,17,19
62,34,12,4,38,41,5,5,33
63,30,11,15,18,34,1,12,22
64,3,5,7,8,4,8,4,6
65,28,11,8,31,20,19,10,32
66,27,17,13,28,31,15,9,29
67,31,14,13,31,35,9,12,35
68,22,20,11,29,30,16,28,17
69,28,8,6,33,33,6,16,18
70,28,12,14,32,41,5,24,16
71,31,13,3,41,38,8,15,25
72,24,17,16,25,31,7,18,18
73,24,18,8,32,31,10,8,30
74,30,6,4,37,35,5,4,32
75,18,21,21,23,28,12,27,16
76,32,7,6,30,40,5,10,25
77,17,17,2,41,25,8,2,29
78,25,9,6,33,27,11,7,30
79,33,10,9,31,35,9,13,20
80,19,24,7,38,29,19,15,30
81,28,12,12,28,32,10,4,36
82,21,18,24,17,18,20,23,19
83,28,9,6,28,30,11,7,24
84,19,18,22,21,29,15,18,16
85,36,11,7,34,40,6,9,29
86,23,19,15,28,31,14,11,25
87,24,3,6,18,20,5,10,18
88,11,16,14,22,18,14,10,20
89,33,3,3,29,33,3,7,22
90,29,14,22,21,32,12,18,28
91,25,15,18,22,35,5,20,20
92,35,8,13,27,38,6,12,32
93,16,14,9,25,41,0,21,7
94,24,9,6,36,36,3,14,23
95,28,9,7,30,38,4,7,25
96,34,10,7,40,37,8,17,30
97,28,11,1,44,34,6,9,20
98,28,15,31,17,32,14,26,20
99,30,13,8,30,35,10,10,29
100,35,12,9,34,39,8,13,28
101,25,20,10,37,37,8,18,21
